<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,-,?,2061162016.0,128000.0,?,✓,✗,(✓),✓,14.03 ± 1.98 / 37.78 ± 0.94,22.41 ± 2.78 / 20.36 ± 2.00,3.33 ± 1.77 / 45.59 ± 3.65,23.57 ± 0.73 / 0.02 ± 0.02,-,1.19 ± 1.20 / 24.79 ± 0.94,15.9.2,15.9.2,15.9.2,15.9.2,-,15.9.2
"<a href='https://docs.x.ai/docs/models'>xai/grok-2-1212 (zero-shot, val)</a>",📝,-,?,?,?,131072.0,✓,✗,✗,✓,91.28 ± 0.97 / 95.53 ± 0.50,53.52 ± 1.75 / 28.46 ± 1.40,38.34 ± 3.60 / 66.76 ± 2.13,61.86 ± 0.75 / 36.01 ± 1.22,-,70.79 ± 1.37 / 78.28 ± 1.05,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,-,9.18,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,88.28 ± 0.69 / 93.96 ± 0.37,52.60 ± 0.81 / 24.41 ± 1.10,12.71 ± 1.12 / 49.71 ± 1.56,63.57 ± 0.44 / 45.85 ± 1.31,-,38.22 ± 0.95 / 53.40 ± 0.71,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
"xai/grok-3-mini-beta#high (zero-shot, val)</a>",🤔,-,?,?,?,131072.0,✓,✗,✗,✓,88.72 ± 1.44 / 94.16 ± 0.75,42.46 ± 2.06 / 30.92 ± 1.75,30.53 ± 3.03 / 65.09 ± 1.50,64.14 ± 0.60 / 45.01 ± 0.97,-,63.78 ± 1.88 / 72.93 ± 1.37,15.7.2,15.7.2,15.7.2,15.7.2,-,15.7.2.dev0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#no-thinking</a>,📝,-,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,90.54 ± 1.61 / 95.18 ± 0.91,58.67 ± 1.35 / 48.70 ± 1.85,41.61 ± 1.57 / 70.03 ± 1.00,27.38 ± 1.40 / 0.03 ± 0.02,-,49.55 ± 1.09 / 60.84 ± 0.92,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
"xai/grok-3-beta (zero-shot, val)</a>",📝,-,?,?,?,131072.0,✓,✗,✗,✓,87.86 ± 1.33 / 93.68 ± 0.69,57.07 ± 1.29 / 25.73 ± 1.72,38.12 ± 3.37 / 68.61 ± 1.67,57.34 ± 0.74 / 28.93 ± 1.16,-,80.26 ± 1.08 / 85.27 ± 0.84,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,-,84.58,?,?,1047576.0,✓,✗,✗,✓,87.59 ± 1.16 / 93.69 ± 0.61,42.19 ± 1.88 / 24.51 ± 1.24,29.04 ± 1.77 / 60.59 ± 1.53,57.21 ± 0.80 / 28.06 ± 1.35,-,42.60 ± 1.92 / 56.84 ± 1.38,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,-,88.07,?,?,1047576.0,✓,✗,✗,✓,89.57 ± 1.04 / 94.59 ± 0.55,49.13 ± 1.80 / 25.30 ± 1.25,45.18 ± 2.89 / 72.47 ± 1.47,62.75 ± 0.84 / 44.02 ± 1.22,-,68.56 ± 1.79 / 76.48 ± 1.33,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-,N/A,574594434.0,250300.0,512.0,✓,✗,(✓),✓,83.29 ± 2.69 / 91.61 ± 1.36,73.55 ± 0.91 / 70.65 ± 1.02,6.53 ± 7.07 / 47.75 ± 6.65,54.42 ± 2.08 / 33.88 ± 2.31,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,-,1.11,22637328384.0,128000.0,4096.0,✓,✗,(✓),✓,92.25 ± 0.42 / 96.10 ± 0.22,46.97 ± 1.50 / 23.97 ± 0.95,11.63 ± 3.40 / 40.07 ± 3.07,66.69 ± 2.22 / 52.16 ± 2.38,-,44.38 ± 1.10 / 57.25 ± 0.92,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,-,N/A,?,128000.0,4096.0,✓,✗,(✓),✓,92.37 ± 0.57 / 96.16 ± 0.29,48.47 ± 1.01 / 31.59 ± 2.94,32.50 ± 2.55 / 63.72 ± 1.76,75.96 ± 1.45 / 59.77 ± 1.72,-,31.31 ± 1.19 / 48.26 ± 0.96,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-,?,?,200019.0,128000.0,✓,✗,✗,✓,87.86 ± 1.33 / 93.68 ± 0.69,60.36 ± 2.31 / 31.65 ± 2.40,39.39 ± 3.35 / 66.85 ± 1.23,61.52 ± 0.79 / 41.81 ± 1.01,-,79.83 ± 1.81 / 84.88 ± 1.34,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-,?,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,92.59 ± 0.61 / 96.26 ± 0.32,66.26 ± 1.99 / 59.79 ± 2.27,31.55 ± 4.14 / 58.27 ± 3.63,64.34 ± 0.93 / 45.34 ± 2.67,-,63.72 ± 0.74 / 72.71 ± 0.56,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,15.11.0.dev0,-,15.11.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,-,N/A,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,93.31 ± 0.63 / 96.64 ± 0.33,71.28 ± 4.26 / 60.71 ± 3.16,43.72 ± 3.52 / 68.49 ± 2.96,74.13 ± 2.17 / 57.17 ± 3.68,-,54.94 ± 2.14 / 65.15 ± 1.76,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-,N/A,134734080.0,119547.0,512.0,✓,✗,(✓),✗,81.43 ± 1.25 / 90.69 ± 0.63,58.91 ± 0.77 / 59.16 ± 1.15,0.58 ± 1.23 / 41.71 ± 4.01,26.95 ± 0.56 / 10.58 ± 0.80,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-,N/A,134734080.0,119547.0,512.0,✓,✗,(✓),✗,61.61 ± 1.84 / 80.74 ± 0.92,27.23 ± 9.17 / 29.02 ± 9.69,-1.74 ± 1.96 / 44.64 ± 3.01,19.31 ± 1.20 / 5.45 ± 0.63,-,-,15.10.0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-,N/A,117654272.0,250037.0,512.0,✓,✗,(✓),✗,85.59 ± 0.63 / 92.79 ± 0.31,51.20 ± 1.80 / 51.16 ± 2.01,0.45 ± 2.06 / 48.28 ± 1.87,23.87 ± 1.25 / 8.79 ± 1.20,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-,N/A,278044162.0,250002.0,512.0,✓,✗,(✓),✗,83.98 ± 1.45 / 91.97 ± 0.73,66.60 ± 2.34 / 67.11 ± 2.06,0.97 ± 1.54 / 45.13 ± 3.77,27.52 ± 0.78 / 13.37 ± 1.18,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-,N/A,134734080.0,119547.0,512.0,✓,✗,(✓),✗,81.38 ± 1.26 / 90.67 ± 0.63,58.89 ± 0.79 / 59.13 ± 1.15,0.40 ± 1.49 / 41.05 ± 3.79,26.90 ± 0.56 / 10.52 ± 0.82,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-,N/A,278044162.0,250002.0,512.0,✓,✗,(✓),✗,87.13 ± 0.75 / 93.55 ± 0.37,62.15 ± 2.77 / 62.37 ± 2.26,0.76 ± 1.66 / 48.67 ± 2.13,27.90 ± 1.01 / 13.25 ± 1.24,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-,N/A,470927360.0,501153.0,512.0,✓,✗,(✓),✗,84.22 ± 2.41 / 92.08 ± 1.22,79.53 ± 1.25 / 78.53 ± 1.04,17.22 ± 6.63 / 57.62 ± 3.34,48.40 ± 1.83 / 30.02 ± 1.41,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,-,0.18,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,91.84 ± 0.86 / 95.88 ± 0.45,58.56 ± 2.02 / 31.28 ± 2.27,21.20 ± 5.49 / 52.39 ± 5.96,70.95 ± 0.65 / 56.07 ± 0.97,-,43.52 ± 1.10 / 56.62 ± 0.96,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,-,16.10.0.dev0
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,-,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,92.66 ± 0.61 / 96.30 ± 0.31,59.85 ± 1.51 / 29.42 ± 1.08,35.89 ± 1.38 / 66.35 ± 1.19,56.23 ± 1.08 / 32.94 ± 1.37,-,57.23 ± 0.93 / 67.60 ± 0.78,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,-,28.48,11168796672.0,32128.0,32768.0,✓,✓,(✓),✓,91.19 ± 0.65 / 95.59 ± 0.33,56.36 ± 2.20 / 31.44 ± 3.15,15.83 ± 2.22 / 53.24 ± 2.06,72.42 ± 0.85 / 51.55 ± 2.01,-,23.05 ± 0.74 / 41.82 ± 0.53,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,-,?,4676271104.0,131072.0,?,✓,✗,(✓),✓,89.31 ± 0.82 / 94.64 ± 0.42,54.44 ± 2.21 / 31.87 ± 3.43,10.69 ± 2.24 / 51.46 ± 2.15,73.40 ± 1.26 / 57.80 ± 1.56,-,21.73 ± 1.00 / 40.99 ± 0.82,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,-,15.16.0.dev0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,-,0.8,27432406640.0,262144.0,8192.0,✓,✗,(✓),✓,90.31 ± 0.56 / 95.04 ± 0.30,41.88 ± 0.57 / 21.77 ± 0.37,16.05 ± 1.20 / 54.73 ± 0.64,60.76 ± 0.40 / 39.50 ± 0.50,-,54.99 ± 0.92 / 65.90 ± 0.71,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,-,15.8.1.dev0
<a href='https://hf.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1</a>,📝,-,?,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,89.51 ± 0.75 / 94.62 ± 0.40,48.93 ± 1.66 / 22.13 ± 1.28,10.34 ± 1.37 / 53.41 ± 1.17,65.02 ± 1.42 / 42.15 ± 2.95,-,18.23 ± 1.34 / 37.41 ± 1.04,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,-,21.95,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,89.92 ± 0.83 / 94.93 ± 0.43,53.68 ± 1.95 / 23.84 ± 1.86,5.72 ± 2.10 / 37.99 ± 2.21,30.41 ± 1.35 / 0.15 ± 0.07,-,20.88 ± 0.90 / 40.04 ± 0.72,16.10.0,16.10.0,16.10.0,16.10.0,-,16.10.0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,-,?,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,0.39 ± 0.77 / 33.53 ± 0.43,51.87 ± 1.71 / 25.95 ± 3.13,0.00 ± 0.00 / 33.30 ± 0.27,2.00 ± 0.14 / 0.00 ± 0.00,-,0.00 ± 0.00 / 25.72 ± 0.28,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,-,?,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,83.97 ± 1.08 / 91.83 ± 0.56,43.63 ± 1.23 / 24.61 ± 0.98,10.55 ± 1.98 / 55.05 ± 1.01,59.17 ± 1.04 / 46.43 ± 0.95,-,15.44 ± 1.39 / 36.61 ± 1.02,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4</a>,📝,-,?,7452725248.0,250680.0,4096.0,✗,✗,(✓),✗,74.24 ± 3.83 / 85.49 ± 2.54,32.58 ± 1.86 / 17.85 ± 0.96,3.43 ± 1.65 / 44.74 ± 2.63,62.04 ± 1.45 / 42.85 ± 1.94,-,10.32 ± 1.21 / 31.70 ± 0.99,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,-,?,7452725248.0,250680.0,4096.0,✓,✗,(✓),✗,53.13 ± 9.76 / 70.07 ± 7.85,34.98 ± 2.17 / 22.26 ± 1.75,1.73 ± 1.08 / 44.49 ± 1.57,54.85 ± 2.45 / 36.95 ± 1.82,-,9.75 ± 1.11 / 27.84 ± 0.97,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,-,?,?,?,200000.0,✓,✗,✗,✓,89.58 ± 1.08 / 94.67 ± 0.56,47.26 ± 2.79 / 36.42 ± 2.07,38.25 ± 2.18 / 66.53 ± 1.22,63.73 ± 0.57 / 47.84 ± 0.91,-,67.64 ± 1.43 / 75.27 ± 1.11,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,-,15.7.2.dev0
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,-,?,?,?,200000.0,✓,✗,✗,✓,89.60 ± 1.40 / 94.63 ± 0.72,46.00 ± 1.66 / 35.49 ± 1.77,31.09 ± 2.46 / 65.42 ± 1.21,63.61 ± 0.80 / 47.55 ± 0.91,-,50.68 ± 2.07 / 62.23 ± 1.53,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,-,15.7.2.dev0
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,-,?,?,?,200000.0,✓,✗,✗,✓,90.25 ± 1.13 / 94.98 ± 0.58,69.71 ± 1.99 / 55.54 ± 2.08,46.79 ± 2.99 / 73.20 ± 1.54,59.83 ± 0.60 / 41.87 ± 1.27,-,72.77 ± 1.57 / 79.65 ± 1.12,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,-,15.7.2.dev0
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,-,?,23572403200.0,131072.0,32768.0,✓,✗,(✓),✓,90.98 ± 0.98 / 95.41 ± 0.52,57.34 ± 1.84 / 30.12 ± 1.57,33.88 ± 1.30 / 66.73 ± 0.60,66.66 ± 0.87 / 50.96 ± 0.93,-,58.34 ± 0.94 / 68.58 ± 0.74,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,-,N/A,7248023552.0,32768.0,32768.0,✓,✗,(✓),✓,89.52 ± 0.90 / 94.73 ± 0.47,45.48 ± 2.20 / 26.01 ± 2.32,6.16 ± 2.01 / 43.81 ± 3.79,69.63 ± 2.18 / 52.92 ± 2.54,-,5.51 ± 1.29 / 27.99 ± 1.02,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,-,N/A,7241732096.0,32000.0,32768.0,✓,✗,(✓),✓,89.98 ± 0.78 / 94.98 ± 0.40,45.86 ± 2.01 / 27.83 ± 2.71,6.45 ± 3.06 / 42.97 ± 6.03,69.21 ± 1.50 / 53.36 ± 1.94,-,4.87 ± 1.39 / 27.99 ± 1.15,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,-,?,108641793536.0,200000.0,?,✓,✗,(✓),✓,92.52 ± 0.67 / 96.22 ± 0.35,54.28 ± 1.64 / 44.09 ± 1.28,21.99 ± 3.60 / 50.63 ± 3.66,59.89 ± 2.00 / 38.34 ± 1.60,-,64.04 ± 1.15 / 73.02 ± 0.88,15.13.0,15.13.0,15.13.0,15.13.0,-,15.13.0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,-,N/A,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,92.69 ± 0.72 / 96.33 ± 0.37,37.11 ± 3.91 / 23.07 ± 3.22,18.10 ± 4.80 / 51.23 ± 6.86,72.10 ± 1.35 / 56.23 ± 1.73,-,19.24 ± 1.06 / 38.13 ± 0.86,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,-,15.16.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,-,?,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,91.62 ± 0.63 / 95.78 ± 0.33,45.65 ± 1.45 / 21.28 ± 1.26,18.98 ± 1.56 / 57.54 ± 1.42,63.56 ± 1.11 / 48.58 ± 0.94,-,26.10 ± 1.38 / 44.58 ± 1.06,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,-,15.16.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,-,N/A,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,90.20 ± 0.99 / 95.05 ± 0.52,43.18 ± 2.42 / 22.46 ± 2.05,5.85 ± 2.78 / 44.85 ± 5.31,70.50 ± 1.66 / 52.58 ± 2.22,-,5.60 ± 1.48 / 28.13 ± 1.39,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/tartuNLP/Apertus-EstLLM-8B-1125'>tartuNLP/Apertus-EstLLM-8B-1125</a>,🧠,-,N/A,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,93.24 ± 0.55 / 96.61 ± 0.28,44.76 ± 2.59 / 26.44 ± 2.60,10.86 ± 3.32 / 38.68 ± 2.97,76.47 ± 1.32 / 60.43 ± 2.12,-,22.41 ± 1.79 / 39.95 ± 1.65,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/tartuNLP/Apertus-EstLLM-8B-Instruct-1125'>tartuNLP/Apertus-EstLLM-8B-Instruct-1125</a>,📝,-,0.82,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,43.09 ± 23.69 / 62.83 ± 16.83,46.86 ± 1.89 / 23.20 ± 1.20,2.00 ± 1.49 / 34.04 ± 0.83,68.55 ± 1.41 / 52.81 ± 1.99,-,0.61 ± 0.96 / 25.92 ± 0.47,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-0525'>tartuNLP/Llama-3.1-EstLLM-8B-0525</a>,🧠,-,N/A,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,89.91 ± 0.66 / 94.93 ± 0.33,50.63 ± 2.46 / 30.79 ± 2.34,2.85 ± 1.80 / 50.80 ± 1.21,72.98 ± 1.42 / 52.34 ± 1.94,-,5.01 ± 0.77 / 28.61 ± 0.59,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,16.9.0.dev0
<a href='https://hf.co/tartuNLP/Llama-3.1-EstLLM-8B-Instruct-0825'>tartuNLP/Llama-3.1-EstLLM-8B-Instruct-0825</a>,📝,-,18.13,8030261248.0,128256.0,131072.0,✗,✗,(✓),✗,87.69 ± 0.68 / 93.81 ± 0.35,44.18 ± 2.12 / 25.10 ± 1.45,9.84 ± 1.52 / 46.84 ± 2.62,64.83 ± 1.56 / 47.92 ± 1.99,-,6.74 ± 0.81 / 27.93 ± 1.36,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,92.62 ± 0.66 / 96.28 ± 0.34,69.03 ± 1.54 / 44.88 ± 1.85,35.07 ± 2.08 / 65.05 ± 1.87,64.69 ± 1.02 / 43.72 ± 1.44,-,55.20 ± 1.17 / 65.86 ± 0.92,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,-,?,108641793536.0,200000.0,?,✓,✗,(✓),✓,92.07 ± 0.77 / 95.98 ± 0.40,62.15 ± 1.44 / 50.94 ± 2.61,3.94 ± 2.96 / 37.17 ± 3.38,31.75 ± 1.31 / 0.36 ± 0.10,-,50.04 ± 1.99 / 61.09 ± 1.52,15.9.2,15.9.2,15.9.2,15.9.2,-,15.9.2
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,-,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,92.39 ± 0.62 / 96.17 ± 0.32,63.19 ± 1.90 / 39.45 ± 1.78,29.85 ± 2.26 / 62.76 ± 2.13,63.67 ± 1.31 / 42.68 ± 1.96,-,46.89 ± 1.17 / 59.83 ± 0.90,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,-,N/A,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,92.39 ± 0.85 / 96.16 ± 0.44,72.14 ± 1.02 / 51.90 ± 4.23,36.33 ± 2.08 / 67.59 ± 1.17,77.11 ± 1.27 / 59.23 ± 2.62,-,40.45 ± 2.48 / 53.70 ± 1.84,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,-,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,91.62 ± 0.74 / 95.79 ± 0.38,52.86 ± 1.68 / 37.60 ± 1.43,10.81 ± 2.21 / 52.42 ± 2.28,64.96 ± 1.38 / 49.83 ± 1.36,-,16.55 ± 1.26 / 36.87 ± 0.88,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
