<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B</a>,🧠,-,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,-,1.97,-
<a href='https://hf.co/NousResearch/DeepHermes-3-Llama-3-8B-Preview'>NousResearch/DeepHermes-3-Llama-3-8B-Preview</a>,📝,-,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,-,32763876352.0,152064.0,32768.0,✓,✗,(✓),✗,-,1.74,-
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking (zero-shot)</a>,📝,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking (val)</a>,📝,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/NbAiLab/nb-roberta-base-scandi'>NbAiLab/nb-roberta-base-scandi</a>,🔍,-,278295700.0,250002.0,514.0,✓,✗,(✓),✗,-,1.62,-
"<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking (zero-shot, val)</a>",📝,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6</a>,🤔,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,4.44,-,-
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,-,3211926528.0,65536.0,4096.0,✓,✗,(✓),✓,3.57,-,3.43
<a href='https://hf.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano</a>,🧠,-,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico</a>,🧠,-,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,-,32763876352.0,152064.0,40960.0,✓,✗,(✓),✓,-,1.86,-
<a href='https://hf.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat</a>,📝,-,619570176.0,151936.0,32768.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B</a>,📝,-,619570176.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen1.5-1.8B-Chat'>Qwen/Qwen1.5-1.8B-Chat</a>,📝,-,1836828672.0,151936.0,32768.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen1.5-1.8B'>Qwen/Qwen1.5-1.8B</a>,📝,-,1836828672.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat</a>,📝,-,14167290880.0,152064.0,32768.0,✗,✗,(✓),✓,-,2.55,-
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#thinking</a>,🤔,-,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/NbAiLab/nb-roberta-base-scandi-1e4'>NbAiLab/nb-roberta-base-scandi-1e4</a>,🔍,-,278295700.0,250002.0,514.0,✓,✗,(✓),✗,-,1.65,-
<a href='https://hf.co/NbAiLab/nb-roberta-base-ncc'>NbAiLab/nb-roberta-base-ncc</a>,🔍,-,278295700.0,250002.0,514.0,✓,✗,(✓),✗,-,1.78,-
<a href='https://hf.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4</a>,🔍,-,278045955.0,250002.0,514.0,✓,✗,(✓),✗,-,1.64,-
<a href='https://hf.co/Maltehb/aelaectra-danish-electra-small-cased'>Maltehb/aelaectra-danish-electra-small-cased</a>,🔍,-,13738498.0,32000.0,128.0,✓,✗,(✓),✗,3.47,-,-
<a href='https://hf.co/Maltehb/aelaectra-danish-electra-small-uncased'>Maltehb/aelaectra-danish-electra-small-uncased</a>,🔍,-,13738498.0,32000.0,128.0,✓,✗,(✓),✗,3.26,-,-
<a href='https://hf.co/Maltehb/danish-bert-botxo'>Maltehb/danish-bert-botxo</a>,🔍,-,110618882.0,32000.0,512.0,✓,✗,(✓),✗,3.05,-,-
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview</a>,📝,-,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (zero-shot)</a>,📝,-,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/NbAiLab/borealis-12b-instruct-preview'>NbAiLab/borealis-12b-instruct-preview (zero-shot, val)</a>",📝,-,13194203760.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview</a>,📝,-,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (zero-shot)</a>,📝,-,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (zero-shot, val)</a>",📝,-,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview</a>,📝,-,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (zero-shot)</a>,📝,-,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (zero-shot, val)</a>",📝,-,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview</a>,📝,-,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (zero-shot)</a>,📝,-,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/NbAiLab/borealis-27b-instruct-preview'>NbAiLab/borealis-27b-instruct-preview (zero-shot, val)</a>",📝,-,28842036848.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (zero-shot)</a>,📝,-,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (zero-shot, val)</a>",📝,-,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/nb-bert-base'>NbAiLab/nb-bert-base</a>,🔍,-,178567165.0,119547.0,512.0,✓,✗,(✓),✗,-,2.01,-
<a href='https://hf.co/NbAiLab/nb-bert-large'>NbAiLab/nb-bert-large</a>,🔍,-,356191570.0,50000.0,512.0,✓,✗,(✓),✗,-,1.89,-
<a href='https://hf.co/NbAiLab/nb-bert-ncc-male2female'>NbAiLab/nb-bert-ncc-male2female</a>,🔍,-,177975035.0,119547.0,512.0,✓,✗,(✓),✗,-,2.28,-
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-alpaca'>NbAiLab/nb-gpt-j-6B-alpaca</a>,📝,-,6055077088.0,50400.0,1024.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-v2'>NbAiLab/nb-gpt-j-6B-v2</a>,🧠,-,6050882784.0,50400.0,1024.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4</a>,🔍,-,278295700.0,250002.0,514.0,✓,✗,(✓),✗,-,1.59,-
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,-,14167290880.0,152064.0,32768.0,✓,✗,(✓),✓,-,3.07,-
<a href='https://hf.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat</a>,📝,-,3950369280.0,151936.0,32768.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B</a>,📝,-,3950369280.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot)</a>,📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (val)</a>,📝,-,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot, val)</a>",📝,-,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,-,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,-,1.79,-
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (zero-shot)</a>,📝,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (val)</a>,📝,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (zero-shot, val)</a>",📝,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,1.74,-
"<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (zero-shot, val)</a>",🤔,-,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (zero-shot)</a>,📝,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (val)</a>,📝,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (zero-shot, val)</a>",📝,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,-,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-,2.20,-
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507 (zero-shot)</a>,🤔,-,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507 (val)</a>,🤔,-,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507 (zero-shot, val)</a>",🤔,-,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,🤔,-,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-,2.12,-
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (zero-shot)</a>,📝,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (val)</a>,📝,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (zero-shot, val)</a>",📝,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-,1.98,-
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,-,1.62,-
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B</a>,📝,-,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (zero-shot)</a>,📝,-,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot)</a>,📝,-,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b</a>,🧠,-,6738415616.0,32000.0,4096.0,✓,✗,(✓),✗,-,2.94,-
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,-,1.82,-
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,-,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,1.53,1.70,-
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (val)</a>,📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot, val)</a>",📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot)</a>,📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (val)</a>,📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot, val)</a>",📝,-,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,-,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,-,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot)</a>,📝,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (val)</a>,📝,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot, val)</a>",📝,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,3.10,3.34,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (zero-shot)</a>,🤔,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (val)</a>,🤔,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (zero-shot, val)</a>",🤔,-,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (zero-shot)</a>,📝,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (val)</a>,📝,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (zero-shot, val)</a>",📝,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,🤔,-,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-,2.74,-
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot)</a>,📝,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (val)</a>,📝,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
"<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot, val)</a>",📝,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,-,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-,1.74,-
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,-,235093634560.0,151936.0,40960.0,✓,✗,✗,✓,-,1.72,-
"<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (zero-shot, val)</a>",📝,-,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B</a>,🧠,-,7550013440.0,131072.0,4096.0,✓,✗,✗,✓,-,-,-
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B1000B</a>,🧠,-,33119034368.0,131072.0,4096.0,✓,✗,✗,✓,-,2.92,-
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (zero-shot)</a>,📝,-,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (zero-shot, val)</a>",📝,-,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct</a>,📝,-,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (val)</a>,🧠,-,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b</a>,🧠,-,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (zero-shot)</a>,📝,-,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (val)</a>,📝,-,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-
"<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (zero-shot, val)</a>",📝,-,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,-,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-,2.19,-
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,-,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base</a>,📝,-,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-,-,-
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,-,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,-,2.11,-
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,-,32296476672.0,256000.0,131072.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,-,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot)</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-
"<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot, val)</a>",📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (zero-shot)</a>,📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-
"<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (zero-shot, val)</a>",📝,-,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-,-,-
<a href='https://hf.co/DDSC/roberta-base-scandinavian'>DDSC/roberta-base-scandinavian</a>,🔍,-,124647939.0,50265.0,514.0,✓,✗,(✓),✗,-,3.27,-
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,-,278295186.0,250002.0,512.0,✓,✗,(✓),✗,-,2.19,-
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,-,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b'>AI-Sweden-Models/gpt-sw3-6.7b</a>,🧠,-,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2'>AI-Sweden-Models/gpt-sw3-6.7b-v2</a>,🧠,-,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,3.48,-,3.20
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (zero-shot, val)</a>",📝,-,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B</a>,🧠,-,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,-,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,-,2.50,-
<a href='https://hf.co/01-ai/Yi-6B'>01-ai/Yi-6B</a>,🧠,-,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,-,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,-,2.38,-
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B-instruct'>AI-Sweden-Models/Llama-3-8B-instruct</a>,📝,-,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B</a>,🧠,-,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/bert-large-nordic-pile-1M-steps'>AI-Sweden-Models/bert-large-nordic-pile-1M-steps</a>,🔍,-,369426435.0,64000.0,512.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct</a>,📝,-,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (zero-shot)</a>,📝,-,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (val)</a>,📝,-,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (zero-shot, val)</a>",📝,-,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-,-,-
