<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=14 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=15 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,-,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,0.00 ± 0.00 / 42.03 ± 0.14,0.00 ± 0.00 / 0.00 ± 0.00,1.04 ± 3.59 / 44.02 ± 4.33,0.00 ± 0.00 / 0.00 ± 0.00,-,0.85 ± 0.86 / 28.49 ± 0.65,6.35 ± 0.86 / 53.02 ± 0.53,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,-,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,61.96 ± 10.09 / 78.83 ± 6.53,56.64 ± 0.95 / 41.08 ± 1.56,31.27 ± 5.26 / 53.67 ± 5.35,72.92 ± 2.47 / 51.26 ± 2.05,-,43.19 ± 1.26 / 57.30 ± 1.01,30.36 ± 2.60 / 64.87 ± 1.24,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,-,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,73.88 ± 7.42 / 86.31 ± 4.20,30.22 ± 2.40 / 27.01 ± 3.33,29.62 ± 3.10 / 56.01 ± 3.99,71.14 ± 2.03 / 47.61 ± 1.43,-,36.82 ± 1.02 / 51.56 ± 0.90,15.22 ± 2.74 / 57.49 ± 1.35,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,-,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,67.26 ± 5.91 / 83.10 ± 3.24,40.18 ± 2.14 / 33.32 ± 2.49,14.72 ± 2.68 / 40.49 ± 1.40,15.11 ± 1.35 / 0.00 ± 0.00,-,29.11 ± 1.22 / 45.41 ± 0.92,7.61 ± 2.17 / 52.80 ± 1.19,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,-,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,2.81 ± 3.29 / 51.17 ± 1.66,13.89 ± 1.37 / 12.82 ± 0.92,-1.69 ± 3.23 / 42.34 ± 1.09,9.93 ± 0.80 / 0.00 ± 0.00,-,1.30 ± 0.93 / 25.01 ± 0.75,0.00 ± 0.00 / 49.12 ± 0.75,16.13.0.dev0,16.13.0.dev0,16.13.0.dev0,16.13.0.dev0,-,16.13.0.dev0,16.13.0.dev0
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,50.57 ± 6.35 / 72.60 ± 5.29,49.30 ± 3.99 / 57.68 ± 3.26,1.25 ± 2.94 / 41.48 ± 4.71,14.97 ± 2.62 / 8.18 ± 2.04,-,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-,-
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-,93990500.0,65636.0,512.0,✓,✗,(✓),✓,62.13 ± 3.19 / 79.96 ± 2.09,53.51 ± 1.36 / 62.02 ± 0.88,9.91 ± 4.15 / 53.74 ± 2.65,2.16 ± 1.09 / 1.19 ± 0.66,-,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-,-
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,-,10731524096.0,32000.0,4096.0,✓,✗,(✓),✗,58.98 ± 6.97 / 78.55 ± 4.03,57.54 ± 1.74 / 41.22 ± 2.80,2.10 ± 1.72 / 34.41 ± 0.90,58.24 ± 1.49 / 37.81 ± 1.97,-,15.47 ± 1.07 / 33.02 ± 1.03,5.03 ± 2.09 / 50.47 ± 1.00,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-,108867577.0,84985.0,512.0,✓,✗,(✓),✗,52.07 ± 3.38 / 73.70 ± 2.38,71.31 ± 1.10 / 74.37 ± 0.78,5.35 ± 2.80 / 43.40 ± 5.59,0.00 ± 0.00 / 0.00 ± 0.00,-,-,-,16.6.0.dev0,16.7.0.dev0,16.6.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-,561192082.0,250002.0,512.0,✓,✗,(✓),✓,78.19 ± 2.30 / 88.24 ± 1.41,82.27 ± 0.53 / 81.32 ± 0.53,32.45 ± 16.10 / 61.44 ± 10.84,27.55 ± 1.96 / 19.57 ± 1.60,-,-,-,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,-,-
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,68.07 ± 7.14 / 83.12 ± 4.09,53.76 ± 1.59 / 43.35 ± 2.18,15.36 ± 1.24 / 43.04 ± 1.87,36.99 ± 1.27 / 1.54 ± 0.23,-,16.32 ± 0.83 / 37.23 ± 0.70,3.90 ± 1.80 / 51.81 ± 0.83,16.10.0,16.10.0,16.10.0,16.10.0,-,16.10.0,16.10.0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,-,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,81.91 ± 1.30 / 90.54 ± 0.66,58.10 ± 1.23 / 43.20 ± 3.06,45.28 ± 3.05 / 70.33 ± 3.07,72.99 ± 2.15 / 50.13 ± 2.24,-,38.80 ± 1.32 / 53.46 ± 1.04,22.12 ± 3.57 / 60.10 ± 2.19,16.10.0,16.10.0,16.10.0,16.10.0,-,16.10.0,16.10.0
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,-,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,71.69 ± 1.78 / 84.74 ± 0.92,49.63 ± 1.46 / 38.23 ± 1.38,20.75 ± 4.12 / 59.41 ± 2.10,46.06 ± 3.74 / 13.31 ± 4.67,-,24.08 ± 1.55 / 41.72 ± 1.32,5.75 ± 2.05 / 52.71 ± 1.01,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,-,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,47.26 ± 3.34 / 73.10 ± 1.59,29.46 ± 2.45 / 23.69 ± 1.58,2.60 ± 3.27 / 41.16 ± 4.38,27.02 ± 0.80 / 1.02 ± 0.26,-,6.74 ± 0.79 / 28.97 ± 0.62,-0.56 ± 1.60 / 49.70 ± 0.77,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,-,16.5.0.dev0,16.5.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,-,?,256128.0,1048576.0,✓,✗,✗,✓,74.58 ± 3.63 / 87.21 ± 1.85,72.51 ± 1.81 / 50.59 ± 1.19,46.74 ± 3.43 / 72.79 ± 1.86,65.08 ± 1.10 / 43.36 ± 1.00,-,86.27 ± 1.86 / 89.69 ± 1.40,67.48 ± 3.25 / 83.91 ± 1.47,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,-,?,256128.0,1048576.0,✓,✗,✗,✓,77.69 ± 2.93 / 88.78 ± 1.50,72.71 ± 1.43 / 55.59 ± 1.30,53.31 ± 3.44 / 76.55 ± 1.74,58.88 ± 1.38 / 25.60 ± 1.31,-,87.82 ± 1.50 / 90.86 ± 1.13,72.39 ± 4.07 / 86.80 ± 2.02,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-,278810882.0,251000.0,512.0,✓,✗,(✓),✓,74.11 ± 2.57 / 86.27 ± 1.29,79.82 ± 1.10 / 79.19 ± 1.03,55.91 ± 4.87 / 75.72 ± 3.58,11.18 ± 2.98 / 7.42 ± 2.27,-,-,-,16.6.0.dev0,16.7.0.dev0,16.6.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,-,5439438272.0,262400.0,8192.0,✓,✗,(✓),✓,72.92 ± 1.82 / 85.06 ± 1.14,63.00 ± 0.95 / 45.76 ± 1.83,31.98 ± 4.20 / 64.73 ± 2.55,63.20 ± 1.30 / 37.65 ± 1.35,-,32.80 ± 0.94 / 49.26 ± 0.67,14.77 ± 1.97 / 57.24 ± 0.97,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-,575922690.0,250300.0,512.0,✓,✗,(✓),✓,66.62 ± 10.77 / 80.55 ± 8.55,81.62 ± 0.79 / 81.15 ± 0.47,20.06 ± 14.75 / 56.54 ± 9.65,32.98 ± 1.03 / 25.02 ± 1.10,-,-,-,16.6.0.dev0,16.7.0.dev0,16.6.0.dev0,16.7.0.dev0,-,-,-
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,-,?,?,1047576.0,✓,✗,✗,✓,76.01 ± 3.55 / 87.95 ± 1.77,60.71 ± 1.36 / 38.86 ± 0.72,48.90 ± 1.60 / 74.36 ± 0.80,64.19 ± 0.96 / 36.29 ± 1.02,-,63.36 ± 2.02 / 72.46 ± 1.45,38.33 ± 3.65 / 70.47 ± 1.78,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,-,?,?,1047576.0,✓,✗,✗,✓,73.70 ± 1.82 / 86.82 ± 0.90,51.65 ± 2.06 / 38.32 ± 1.25,38.24 ± 1.82 / 66.39 ± 1.22,57.23 ± 1.22 / 29.30 ± 1.48,-,38.90 ± 2.91 / 53.63 ± 2.13,1.39 ± 6.96 / 56.33 ± 3.33,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,-,?,100256.0,272000.0,✓,✗,✗,✓,78.16 ± 3.20 / 89.02 ± 1.63,74.59 ± 1.87 / 58.76 ± 1.40,51.07 ± 3.74 / 73.51 ± 2.10,62.55 ± 1.08 / 38.21 ± 0.84,-,91.76 ± 1.15 / 93.83 ± 0.87,75.57 ± 4.01 / 88.36 ± 2.01,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,-,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,71.27 ± 4.36 / 85.38 ± 2.16,44.23 ± 1.97 / 36.38 ± 1.74,4.45 ± 2.61 / 38.10 ± 2.85,58.43 ± 1.93 / 36.07 ± 3.02,-,18.77 ± 0.86 / 38.70 ± 0.81,-2.12 ± 1.73 / 48.67 ± 0.83,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,-,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,65.22 ± 2.42 / 81.79 ± 1.22,41.33 ± 1.49 / 30.83 ± 1.35,22.17 ± 4.48 / 59.30 ± 3.17,55.86 ± 1.87 / 29.74 ± 2.82,-,17.21 ± 0.83 / 38.41 ± 0.60,2.64 ± 2.21 / 50.81 ± 0.96,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,16.5.0.dev0,-,16.5.0.dev0,16.5.0.dev0
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,59.68 ± 7.83 / 77.86 ± 6.00,73.73 ± 0.90 / 76.86 ± 0.84,40.28 ± 6.90 / 69.30 ± 3.69,18.24 ± 1.23 / 11.82 ± 1.00,-,-,-,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,-,-
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,71.32 ± 4.26 / 84.54 ± 2.81,76.82 ± 0.92 / 77.94 ± 0.81,47.27 ± 4.79 / 73.11 ± 2.64,26.50 ± 0.79 / 17.65 ± 1.03,-,-,-,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,-,-
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-,559890946.0,250002.0,512.0,✓,✗,(✓),✗,79.36 ± 1.30 / 88.92 ± 0.83,83.55 ± 0.79 / 83.09 ± 0.89,42.33 ± 17.26 / 68.94 ± 8.99,29.71 ± 1.19 / 20.93 ± 1.23,-,-,-,16.6.0.dev0,16.7.0.dev0,16.6.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-,278044162.0,250002.0,512.0,✓,✗,(✓),✗,76.53 ± 1.90 / 87.26 ± 1.26,82.85 ± 0.79 / 83.17 ± 0.47,40.01 ± 7.97 / 66.86 ± 4.11,13.87 ± 3.22 / 9.21 ± 2.37,-,-,-,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,-,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,61.28 ± 3.58 / 78.48 ± 2.22,46.55 ± 2.74 / 36.25 ± 2.58,20.93 ± 5.00 / 58.09 ± 4.56,50.39 ± 2.69 / 27.71 ± 3.68,-,16.59 ± 0.93 / 36.61 ± 0.75,3.70 ± 1.39 / 51.34 ± 0.60,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,-,?,256128.0,1048576.0,✓,✗,✗,✓,74.16 ± 2.78 / 86.99 ± 1.42,70.96 ± 1.08 / 41.28 ± 1.09,57.72 ± 1.92 / 78.75 ± 0.98,66.00 ± 1.12 / 38.60 ± 1.49,-,74.81 ± 2.19 / 81.13 ± 1.62,42.60 ± 5.46 / 72.89 ± 2.41,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,-,32207337984.0,100352.0,131072.0,✓,✗,(✓),✗,76.29 ± 1.46 / 87.26 ± 0.99,61.01 ± 1.53 / 46.96 ± 2.35,22.64 ± 4.26 / 47.15 ± 4.47,66.30 ± 1.83 / 46.14 ± 1.43,-,48.90 ± 0.69 / 61.32 ± 0.54,19.81 ± 2.85 / 58.19 ± 1.92,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0,16.8.0.dev0
fresh-xlm-roberta-base,🔍,-,278885778.0,250002.0,512.0,✓,✗,✗,✓,46.61 ± 10.87 / 68.90 ± 10.82,30.13 ± 2.32 / 40.61 ± 2.40,2.04 ± 1.90 / 38.59 ± 4.17,0.00 ± 0.00 / 0.00 ± 0.00,-,-,-,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,-,-,-
fresh-electra-small,🔍,-,13738755.0,32000.0,128.0,✓,✗,✗,✓,57.15 ± 1.11 / 77.80 ± 0.64,0.82 ± 0.32 / 11.09 ± 0.84,0.50 ± 0.98 / 33.62 ± 0.75,0.00 ± 0.00 / 0.00 ± 0.00,-,-,-,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,-,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,0.00 ± 0.00 / 42.03 ± 0.14,35.48 ± 2.80 / 27.25 ± 2.00,0.68 ± 1.38 / 38.61 ± 4.40,34.79 ± 1.70 / 20.90 ± 1.82,-,1.31 ± 1.06 / 25.65 ± 0.75,0.00 ± 0.00 / 49.12 ± 0.75,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,-,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,27.50 ± 6.59 / 53.15 ± 6.18,62.87 ± 1.14 / 50.42 ± 2.05,22.12 ± 3.18 / 59.20 ± 1.66,57.30 ± 1.50 / 37.87 ± 2.07,-,51.50 ± 0.54 / 63.64 ± 0.41,19.10 ± 2.87 / 59.52 ± 1.43,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,-,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,80.66 ± 1.55 / 90.04 ± 0.82,46.37 ± 1.76 / 28.91 ± 1.64,36.49 ± 2.87 / 64.02 ± 2.07,50.79 ± 1.54 / 20.58 ± 1.25,-,35.26 ± 1.16 / 50.68 ± 0.85,26.16 ± 1.59 / 63.07 ± 0.80,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,16.6.0.dev0,16.6.0.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,-,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,17.46 ± 7.56 / 46.38 ± 6.91,62.36 ± 1.48 / 41.21 ± 1.69,5.49 ± 5.28 / 48.68 ± 2.36,19.00 ± 1.56 / 4.49 ± 1.38,-,18.70 ± 2.28 / 37.57 ± 2.03,7.40 ± 2.86 / 52.92 ± 1.47,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,-,16.12.0.dev0,16.12.0.dev0
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,47.20 ± 7.92 / 69.47 ± 7.78,49.80 ± 1.15 / 57.36 ± 1.29,2.16 ± 2.50 / 48.10 ± 2.40,5.88 ± 0.51 / 2.55 ± 0.36,-,-,-,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,50.04 ± 4.89 / 74.04 ± 2.73,46.62 ± 1.37 / 55.79 ± 0.83,4.00 ± 2.96 / 49.58 ± 2.31,8.96 ± 1.60 / 4.39 ± 0.98,-,-,-,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,16.7.0.dev0,-,-,-
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,-,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,69.31 ± 2.21 / 83.06 ± 1.33,49.60 ± 1.12 / 40.52 ± 1.51,19.08 ± 3.93 / 46.94 ± 2.15,60.63 ± 1.90 / 41.57 ± 1.52,-,26.22 ± 0.72 / 43.59 ± 0.63,5.14 ± 1.82 / 52.73 ± 0.88,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,-,16.10.0.dev0,16.10.0.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,-,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,58.51 ± 5.58 / 76.98 ± 2.54,33.02 ± 2.52 / 28.35 ± 1.99,9.41 ± 3.27 / 50.31 ± 4.81,53.58 ± 1.34 / 36.23 ± 1.64,-,12.20 ± 0.95 / 33.53 ± 0.78,2.69 ± 3.30 / 50.22 ± 1.27,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,-,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,53.39 ± 3.52 / 75.15 ± 1.86,32.79 ± 1.85 / 25.69 ± 1.11,14.04 ± 2.62 / 46.97 ± 2.45,15.46 ± 0.61 / 0.13 ± 0.07,-,9.19 ± 0.88 / 31.12 ± 0.75,3.42 ± 2.00 / 51.36 ± 0.90,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,-,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,0.42 ± 1.31 / 42.08 ± 0.16,47.48 ± 1.75 / 37.12 ± 1.48,0.00 ± 0.00 / 33.27 ± 0.70,17.02 ± 1.39 / 3.99 ± 0.91,-,7.06 ± 1.48 / 26.44 ± 1.05,3.70 ± 1.66 / 51.01 ± 0.95,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,1.45 ± 2.00 / 42.19 ± 0.27,43.23 ± 1.87 / 34.00 ± 1.72,1.03 ± 1.38 / 33.40 ± 0.67,19.66 ± 1.81 / 0.69 ± 0.30,-,9.02 ± 1.11 / 32.62 ± 0.91,3.11 ± 2.40 / 50.90 ± 1.01,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,-,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,10.48 ± 9.91 / 47.08 ± 6.09,43.63 ± 1.46 / 32.12 ± 1.28,-0.24 ± 1.62 / 33.64 ± 0.70,47.94 ± 1.20 / 30.23 ± 1.29,-,8.02 ± 1.39 / 29.74 ± 1.63,3.23 ± 2.99 / 51.24 ± 0.66,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,-,?,103424.0,131072.0,✓,✗,(✓),✗,3.87 ± 2.52 / 46.20 ± 2.80,26.69 ± 1.68 / 21.84 ± 1.17,-2.38 ± 4.34 / 42.25 ± 2.76,11.59 ± 1.56 / 3.58 ± 0.92,-,0.81 ± 1.57 / 27.26 ± 1.13,1.89 ± 2.18 / 51.22 ± 1.05,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,-,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,70.55 ± 1.53 / 84.58 ± 0.89,49.32 ± 1.32 / 31.07 ± 1.49,11.77 ± 2.98 / 47.39 ± 2.02,66.30 ± 1.57 / 41.98 ± 1.83,-,24.69 ± 0.98 / 43.19 ± 0.83,8.12 ± 1.31 / 54.03 ± 0.65,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,-,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,84.64 ± 1.29 / 91.98 ± 0.71,71.57 ± 0.73 / 57.56 ± 2.52,40.83 ± 5.34 / 60.92 ± 4.01,16.59 ± 1.00 / 0.67 ± 0.18,-,70.61 ± 0.86 / 77.87 ± 0.64,51.26 ± 2.32 / 75.63 ± 1.15,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,16.6.0.dev0,-,16.6.0.dev0,16.6.0.dev0
